slice,ci_lower_diskomfort,ci_upper_diskomfort,mean_diskomfort,ci_lower_anger_sm,ci_upper_anger_sm,mean_fl_anger_sm,ci_lower_disgust_sm,ci_upper_disgust_sm,mean_fl_disgust_sm,ci_lower_fear_sm,ci_upper_fear_sm,mean_fl_fear_sm,ci_lower_happiness_sm,ci_upper_happiness_sm,mean_fl_happiness_sm,ci_lower_sadness_sm,ci_upper_sadness_sm,mean_fl_sadness_sm,ci_lower_surprise_sm,ci_upper_surprise_sm,mean_fl_surprise_sm,ci_lower_neutral_sm,ci_upper_neutral_sm,mean_fl_neutral_sm,mean_rel_zeit_s
1,-0.15349686989503,0.461189177587337,0.153846153846154,-0.342967727078355,0.199323852086234,-0.0718219374960604,-0.234451181041197,0.580783189267307,0.173166004113055,-0.199164131913351,0.395230988334704,0.0980334282106767,-0.385855282156889,0.323612649444351,-0.0311213163562691,-0.19314728001412,0.347882351070791,0.0773675355283354,-0.268326621953409,0.467267009697958,0.0994701938722746,-0.265617131243573,0.192986371053587,-0.0363153800949932,186.99974374359
2,-0.15349686989503,0.461189177587337,0.153846153846154,-0.301355830902518,0.255484172471308,-0.0229358292156052,-0.170207205522442,0.482952617663166,0.156372706070362,-0.244815990745819,0.23578105165414,-0.00451746954583959,-0.320790555902564,0.066688678291246,-0.127050938805659,-0.146913187921785,0.42181242232178,0.137449617199998,-0.27800397492984,0.386524700119192,0.054260362594676,-0.229407857676692,0.212938354142754,-0.0082347517669689,187.099743589744
3,-0.15349686989503,0.461189177587337,0.153846153846154,-0.294599002642737,0.280568785551979,-0.00701510854537915,-0.103587547537499,0.467700909800471,0.182056681131486,-0.291757990694648,0.126797383417535,-0.0824803036385566,-0.352252938162525,0.147693757690412,-0.102279590236057,-0.130058249439148,0.427760661636674,0.148851206098763,-0.275433669628356,0.407287671667675,0.0659270010196595,-0.174704097749443,0.271703737519274,0.0484998198849158,187.20000348718
4,-0.15349686989503,0.461189177587337,0.153846153846154,-0.301281184391687,0.300364293680652,-0.000458445355517616,-0.118514077362002,0.437751004106178,0.159618463372088,-0.294897900478718,0.119051921699695,-0.0879229893895112,-0.348209630125586,0.273169799614318,-0.0375199152556336,-0.141428682752274,0.370184606263909,0.114377961755818,-0.246937756337143,0.45773147486298,0.105396859262919,-0.17951022388374,0.299527801960426,0.0600087890383431,187.300253128205
5,-0.15349686989503,0.461189177587337,0.153846153846154,-0.263966491112889,0.17088075691293,-0.0465428670999796,-0.17562453446944,0.376424008288296,0.100399736909428,-0.230349456900807,0.196370955789571,-0.0169892505556181,-0.310106115494377,0.245923735320486,-0.0320911900869453,-0.12866701208089,0.40216585848861,0.13674942320386,-0.21630921178181,0.448419710482063,0.116055249350126,-0.190432319301455,0.305188775973097,0.0573782283358212,187.400256461538
6,-0.158613432224864,0.476562150173582,0.158974358974359,-0.239243862896711,0.184966356787755,-0.0271387530544777,-0.207292857692568,0.34111014224121,0.0669086422743206,-0.231059151009718,0.228103349052198,-0.00147790097876033,-0.237716616654246,0.285028257178462,0.0236558202621079,-0.124209210605771,0.441894086165642,0.158842437779935,-0.261765614922571,0.346157029094602,0.0421957070860153,-0.212384966480421,0.310752272620226,0.0491836530699027,187.5
7,-0.158613432224864,0.476562150173582,0.158974358974359,-0.265330175366887,0.237448037131652,-0.0139410691176173,-0.235962559394121,0.281205281500445,0.0226213610531616,-0.264122280196386,0.218894438892526,-0.02261392065193,-0.270917936386868,0.231895321107708,-0.0195113076395801,-0.124881562179724,0.421757291352715,0.148437864586495,-0.254150137237044,0.335092944079407,0.0404714034211813,-0.212438556475922,0.316299920650852,0.0519306820874652,187.599743641026
8,-0.163729994554698,0.491935122759827,0.164102564102564,-0.298049780629657,0.225910184066838,-0.0360697982814092,-0.217427421574209,0.24266162296232,0.0126171006940554,-0.305597204877817,0.161926505614563,-0.071835349631627,-0.295954799583843,0.283044579836745,-0.00645510987354925,-0.132735427397231,0.405288796279994,0.136276684441381,-0.229189521109671,0.320589413249447,0.0456999460698877,-0.183862294343227,0.339530233823815,0.077833969740294,187.700003282051
9,-0.158613432224864,0.476562150173582,0.158974358974359,-0.28195111301255,0.212795937582496,-0.034577587715027,-0.22659830928055,0.22415340968491,-0.00122244979782007,-0.273470888498483,0.189269548825486,-0.0421006698364986,-0.338707648726304,0.174092681311179,-0.0823074837075626,-0.0807378248725868,0.406773702715316,0.163017938921364,-0.207789290006585,0.318534101585068,0.0553724057892413,-0.169265883914101,0.339104350730556,0.0849192334082274,187.800253179487
10,-0.15349686989503,0.461189177587337,0.153846153846154,-0.326406476346123,0.0844926927368035,-0.12095689180466,-0.240194471221623,0.285909153337222,0.0228573410577995,-0.218031111032187,0.233469174521915,0.007719031744864,-0.334044356758735,0.122219154384476,-0.10591260118713,-0.043806794815763,0.427705953540125,0.191949579362181,-0.116501102578418,0.41085528517445,0.147177091298016,-0.190447807095503,0.281003942454537,0.0452780676795169,187.900256410256
11,-0.15349686989503,0.461189177587337,0.153846153846154,-0.334558764083741,0.0671542456134022,-0.133702259235169,-0.243126154296448,0.406972857769176,0.081923351736364,-0.15465335000309,0.330570226277226,0.0879584381370681,-0.348132389830564,0.0187208165050933,-0.164705786662735,-0.155994565644868,0.31420896062885,0.0791071974919912,-0.112009317127519,0.421047742423804,0.154519212648142,-0.254776201206934,0.191437505145492,-0.0316693480307211,188.000000153846
12,-0.158613432224864,0.476562150173582,0.158974358974359,-0.369369001754799,0.0736249204771868,-0.147872040638806,-0.222548646160584,0.403690588322632,0.0905709710810242,-0.0982461995380194,0.435707177512742,0.168730488987361,-0.352382298692174,0.0374696530315618,-0.157456322830306,-0.256627101754836,0.252758437906103,-0.00193433192436657,-0.0555639570698136,0.484411897354062,0.214423970142124,-0.330265849171525,0.0849150581745195,-0.122675395498503,188.099744564103
13,-0.163729994554698,0.491935122759827,0.164102564102564,-0.414415211471233,0.118252349182511,-0.148081431144361,-0.181479963622333,0.290499939471128,0.0545099879243973,-0.0872579534401652,0.491060115798771,0.201901081179303,-0.340083828746488,0.0141228875835885,-0.16298047058145,-0.324918005086431,0.237191461183899,-0.0438632719512661,-0.0774468329139221,0.481578706403799,0.202065936744938,-0.379197113782617,0.0472038072230613,-0.165996653279778,188.200004358974
14,-0.15349686989503,0.461189177587337,0.153846153846154,-0.42782725097623,0.179238080746677,-0.124294585114776,-0.217489926804271,0.180456905310977,-0.0185165107466473,-0.112867573708708,0.519049774432026,0.203091100361659,-0.290155031062233,0.0676440488261292,-0.111255491118052,-0.351952651049995,0.254418029567907,-0.0487673107410438,-0.0727847321642155,0.479540021128537,0.203377644482161,-0.370143602537115,0.0684069359832536,-0.15086833327693,188.300253128205
15,-0.15349686989503,0.461189177587337,0.153846153846154,-0.321664504244138,0.246999805847414,-0.0373323491983623,-0.264297260688975,0.120608137173966,-0.0718445617575045,-0.121762460275744,0.547313023450916,0.212775281587586,-0.308226975400878,0.0212108284035999,-0.143508073498639,-0.330070962557937,0.283846329136719,-0.0231123167106093,-0.0782161334394939,0.436091539281085,0.178937702920796,-0.351892546343403,0.0707711305321949,-0.140560707905604,188.400256512821
16,-0.163729994554698,0.491935122759827,0.164102564102564,-0.244266744993967,0.28596765386764,0.0208504544368362,-0.293853658361256,0.0579439339336696,-0.117954862213793,-0.0891807804493384,0.568685908602931,0.239752564076796,-0.318729209227213,-0.0302301296515555,-0.174479669439384,-0.328021743124538,0.224353079611974,-0.0518343317562817,-0.0709505683629631,0.404412593677465,0.166731012657251,-0.381864588392604,-0.00195361234134652,-0.191909100366975,188.500000974359
17,-0.168846556884533,0.507308095346071,0.169230769230769,-0.246519356262735,0.269327782539371,0.0114042131383177,-0.27598932696586,0.0763203366234873,-0.0998344951711863,-0.0514621639251434,0.530314780919772,0.239426308497314,-0.335805892277589,-0.010279064018485,-0.173042478148037,-0.349283799884363,0.142623839582303,-0.10332998015103,-0.111831026498829,0.371962094513722,0.130065534007446,-0.421399653008381,-0.0660128151916991,-0.24370623410004,188.599743692308
18,-0.168846556884533,0.507308095346071,0.169230769230769,-0.236556710612109,0.263179388175001,0.0133113387814463,-0.261280932387411,0.105134149598139,-0.0780733913946357,-0.0752978506243069,0.464207831819724,0.194454990597709,-0.33545134291203,0.0963829251314266,-0.119534208890301,-0.378948359904497,0.0732743011135984,-0.152837029395449,-0.177684472907491,0.324614936674229,0.0734652318833691,-0.417059506681383,-0.0462864001296597,-0.231672953405521,188.700003435897
19,-0.168846556884533,0.507308095346071,0.169230769230769,-0.246767984751812,0.303136287212793,0.0281841512304909,-0.234374972582956,0.154207366619999,-0.0400838029814788,-0.109207244860543,0.442805155501102,0.166798955320279,-0.252812440173553,0.465737269167594,0.106462414497021,-0.368415450285938,0.0871089308991366,-0.140653259693401,-0.256911261812391,0.262744356395597,0.00291654729160304,-0.421995460659181,-0.0080554092735669,-0.215025434966374,188.800253897436
20,-0.15349686989503,0.461189177587337,0.153846153846154,-0.209685297615095,0.352849900863911,0.0715823016244077,-0.265872970815394,0.0806606615684557,-0.0926061546234689,-0.170848942550086,0.376877398201867,0.10301422782589,-0.200654512867633,0.407782567699417,0.103564027415892,-0.339962496606153,0.134501376689035,-0.102730559958559,-0.271914933318888,0.272986454102473,0.000535760391792329,-0.38347741914683,0.0496759937158906,-0.16690071271547,188.900256410256
21,-0.15349686989503,0.461189177587337,0.153846153846154,-0.252738672879908,0.347341336056249,0.0473013315881704,-0.300100554489705,0.0270368959413637,-0.136531829274171,-0.184561096780044,0.340235137067738,0.0778370201438472,-0.173825464192695,0.390461161148428,0.108317848477867,-0.326441321433699,0.145223153676614,-0.0906090838785425,-0.256787999756069,0.325449081460483,0.0343305408522069,-0.338612337552516,0.121619963416566,-0.108496187067975,189.000000102564
22,-0.158613432224864,0.476562150173582,0.158974358974359,-0.248370003167872,0.421501855393731,0.0865659261129297,-0.315514221032181,0.0131664725789721,-0.151173874226604,-0.164510122394262,0.365134801057702,0.10031233933172,-0.190889715838247,0.310195342554965,0.059652813358359,-0.334449692299476,0.0946494774687884,-0.119900107415344,-0.231634616485841,0.367186459156582,0.0677759213353706,-0.320519333190486,0.183429312323232,-0.0685450104336271,189.099743589744
23,-0.158613432224864,0.476562150173582,0.158974358974359,-0.325407228813883,0.480090521514431,0.077341646350274,-0.281743867047275,0.0777674515435843,-0.101988207751845,-0.172496213523265,0.341690085646553,0.0845969360616443,-0.193497935563299,0.347282541555532,0.0768923029961167,-0.321204255899616,0.115467654675749,-0.102868300611933,-0.20317406005562,0.347717351068745,0.0722716455065625,-0.300084039259156,0.231394004301613,-0.0343450174787715,189.200003333333
24,-0.12146320355287,0.634283716373383,0.256410256410256,-0.352602436316467,0.455683828593437,0.0515406961384851,-0.240245605859871,0.15455802562485,-0.0428437901175105,-0.211659555024117,0.267661193571067,0.0280008192734746,-0.173047416816799,0.325455893915044,0.0762042385491228,-0.25696345392147,0.187743329549569,-0.0346100621859504,-0.214885451203387,0.27394464903879,0.0295295989177014,-0.278656148446588,0.223893061025034,-0.0273815437107772,189.300253333333
25,-0.133899950327145,0.800566616993811,0.333333333333333,-0.345101744748275,0.147671165385656,-0.0987152896813097,-0.14136871664774,0.29626098657754,0.0774461349649002,-0.308534417125722,0.126504096098737,-0.0910151605134927,-0.16233892765888,0.268222748588774,0.0529419104649471,-0.204279004105279,0.268922105065251,0.0323215504799863,-0.20689489520741,0.279054441357608,0.0360797730750993,-0.281037216522407,0.217134965064198,-0.0319511257291048,189.400256410256
