slice,ci_lower_diskomfort,ci_upper_diskomfort,mean_diskomfort,ci_lower_anger_sm,ci_upper_anger_sm,mean_fl_anger_sm,ci_lower_disgust_sm,ci_upper_disgust_sm,mean_fl_disgust_sm,ci_lower_fear_sm,ci_upper_fear_sm,mean_fl_fear_sm,ci_lower_happiness_sm,ci_upper_happiness_sm,mean_fl_happiness_sm,ci_lower_sadness_sm,ci_upper_sadness_sm,mean_fl_sadness_sm,ci_lower_surprise_sm,ci_upper_surprise_sm,mean_fl_surprise_sm,ci_lower_neutral_sm,ci_upper_neutral_sm,mean_fl_neutral_sm,mean_rel_zeit_s
1,,,0,-0.338862087257957,0.0983204149023635,-0.120270836177797,-0.0914244634643686,0.485977869378876,0.197276702957254,-0.0764229367459243,0.602620209488273,0.263098636371174,-0.24975698841466,0.303478707258511,0.0268608594219254,-0.458034691738512,0.0902136755510787,-0.183910508093717,-0.245437608228648,0.229395719130524,-0.00802094454906189,-0.177099433205152,0.444228828303181,0.133564697549014,560
2,,,0,-0.33012367238469,0.144329624290252,-0.0928970240472193,-0.139950163947457,0.436375359785285,0.148212597918914,-0.0699636923812348,0.623218367048096,0.276627337333431,-0.228340764594632,0.299571632636987,0.0356154340211775,-0.407096172791878,0.227303794680565,-0.0898961890556567,-0.200212771837394,0.318178582958319,0.0589829055604626,-0.217685503624514,0.389859233349246,0.0860868648623662,560.11641
3,,,0,-0.353517326417064,0.225479517955247,-0.064018904230909,-0.188378848655613,0.321036017888097,0.0663285846162418,-0.0648222832859895,0.586969706831911,0.261073711772961,-0.222916976242032,0.308541649737143,0.0428123367475553,-0.317428125507015,0.387881224784226,0.0352265496386054,-0.145479357847366,0.456786430661317,0.155653536406976,-0.248108069901794,0.304904646144653,0.0283982881214296,560.216426871795
4,,,0,-0.340322350953543,0.245505738107097,-0.0474083064232231,-0.247461888477514,0.248934910129787,0.000736510826136499,-0.0699053158009251,0.540425049943702,0.235259867071388,-0.191337125168479,0.306802057495509,0.0577324661635152,-0.262072755149915,0.486603934660766,0.112265589755425,-0.113378408110058,0.575683703409792,0.231152647649867,-0.199516521066898,0.27917144186755,0.039827460400326,560.315880564103
5,,,0,-0.352284092317042,0.0911494335332222,-0.13056732939191,-0.304459387004804,0.18879407601576,-0.0578326554945221,-0.142605599720245,0.429026693212017,0.143210546745886,-0.198538104720988,0.23402223397335,0.0177420646261812,-0.238029974280503,0.485434117487048,0.123702071603273,-0.0870552820931561,0.629233447352361,0.271089082629603,-0.151061546483338,0.30122539977007,0.0750819266433662,560.415898538462
6,,,0,-0.324573725815334,0.0815486919920331,-0.121512516911651,-0.297640984902789,0.195241071266919,-0.0511999568179347,-0.222410807980462,0.261471455687101,0.0195303238533194,-0.187559291034235,0.375991974842184,0.0942163419039745,-0.21061190801522,0.455156497971553,0.122272294978167,-0.114152534825755,0.601017659488017,0.243432562331131,-0.109411565594728,0.351771449234704,0.121179941819988,560.51641025641
7,,,0,-0.350965950660511,0.109355085754732,-0.120805432452889,-0.192460031079727,0.277907726270946,0.0427238475956095,-0.292950575958006,0.227129624403215,-0.0329104757773957,-0.177389003983318,0.491255216578198,0.15693310629744,-0.186214562117247,0.332731677692902,0.0732585577878276,-0.208295024229887,0.342809697327743,0.0672573365489278,-0.11760827552065,0.355277797553311,0.11883476101633,560.61641
8,,,0,-0.304686509217052,0.161021758431337,-0.0718323753928573,-0.123120004492003,0.418098689436175,0.147489342472086,-0.337576456177757,0.146314305038766,-0.0956310755694953,-0.171645332237364,0.401055599741766,0.114705133752201,-0.155130953055095,0.308559869179526,0.0767144580622154,-0.298116924235607,0.0911795141180468,-0.10346870505878,-0.0749289675630068,0.398788122466001,0.161929577451497,560.716426871795
9,,,0,-0.240836170199993,0.234061799950709,-0.00338718512464166,-0.143204508427736,0.411306290031461,0.134050890801862,-0.329327988451119,0.108712911132733,-0.110307538659193,-0.163704154907555,0.335589537023557,0.0859426910580013,-0.203882515642051,0.263379840710659,0.029748662534304,-0.330215508490371,0.0308748398840589,-0.149670334303156,-0.0417154219236947,0.460028553654003,0.209156565865154,560.816137102564
10,,,0,-0.164762588652155,0.341049192315651,0.0881433018317478,-0.15395557808627,0.342932806460497,0.0944886141871136,-0.33871361068425,0.112440800384222,-0.113136405150014,-0.197315689511381,0.231750464906125,0.0172173876973719,-0.250027010163947,0.220501033319401,-0.0147629884222732,-0.260137012531225,0.122235147904843,-0.0689509323131911,-0.0475327177331443,0.508453189907153,0.230460236087004,560.91615425641
11,,,0,-0.191934098987426,0.790905630643525,0.299485765828049,-0.149880878901561,0.319147944138827,0.0846335326186332,-0.338422563993275,0.102067411999586,-0.118177575996845,-0.221159630902426,0.236036045970055,0.00743820753381444,-0.254674770852731,0.197026670034666,-0.0288240504090325,-0.190026679792481,0.242504409237478,0.0262388647224982,-0.0822546274331055,0.488268262631184,0.203006817599039,561.015897435897
12,,,0,-0.150548351651589,0.41433740129885,0.131894524823631,-0.18371162698761,0.355139606557024,0.0857139897847069,-0.357235427227428,0.0453017775867216,-0.155966824820353,-0.254621160384077,0.339540330134685,0.0424595848753045,-0.206651551308497,0.238274486576166,0.0158114676338343,-0.216937861582202,0.241300039029808,0.0121810887238027,-0.0350135225383021,0.486376475037033,0.225681476249365,561.115897948718
13,,,0,-0.227549041498594,0.171822762186031,-0.0278631396562815,-0.194724099636851,0.337865584697884,0.0715707425305166,-0.387498323812723,-0.00189698143200175,-0.194697652622362,-0.300518835732719,0.329032815717222,0.0142569899922515,-0.183141916064364,0.300053666268149,0.0584558751018925,-0.286909802758962,0.17283034741622,-0.0570397276713711,0.0219368894201433,0.522312522485399,0.272124705952771,561.216426871795
14,,,0,-0.218120520761834,0.221441604590077,0.00166054191412132,-0.197154503028072,0.303363449876745,0.0531044734243365,-0.422022650077932,-0.0224678952155052,-0.222245272646719,-0.264294055920562,0.203039091363742,-0.0306274822784098,-0.189371889419791,0.301731954969065,0.0561800327746369,-0.320743852654578,0.125910508940004,-0.097416671857287,-0.0019509730843307,0.499505132403685,0.248777079659677,561.316393641026
15,,,0,-0.255742613020302,0.152785404453216,-0.0514786042835431,-0.196754695084835,0.31590704693152,0.0595761759233422,-0.461732826114776,-0.0514790536888439,-0.25660593990181,-0.218914902583295,0.182346926597285,-0.0182839879930048,-0.174109172905241,0.295591165425913,0.0607409962603362,-0.38324964899736,0.0444850408836166,-0.169382304056872,-0.0587943746816473,0.431140424581335,0.186173024949844,561.416410820513
16,,,0,-0.236658083904734,0.245937973556831,0.00463994482604823,-0.218048859808378,0.314888728433984,0.0484199343128031,-0.472196135108925,-0.0590297407359354,-0.26561293792243,-0.186556324285235,0.220559095465385,0.017001385590075,-0.176148786406251,0.297980704502386,0.0609159590480676,-0.433479945687445,-0.018238519921755,-0.2258592328046,-0.0962102573559847,0.361476556375335,0.132633149509675,561.51641025641
17,,,0,-0.26155865440608,0.213696199435016,-0.0239312274855319,-0.214016130161501,0.291514497930351,0.038749183884425,-0.511258797509799,-0.126106821094514,-0.318682809302156,-0.159198356786263,0.246064272422114,0.0434329578179256,-0.176328837830392,0.317272110616341,0.0704716363929747,-0.432590434617777,-0.028929628733965,-0.230760031675871,-0.0563697558486033,0.402169564159882,0.172899904155639,561.616411025641
