slice,ci_lower_diskomfort,ci_upper_diskomfort,mean_diskomfort,ci_lower_anger_sm,ci_upper_anger_sm,mean_fl_anger_sm,ci_lower_disgust_sm,ci_upper_disgust_sm,mean_fl_disgust_sm,ci_lower_fear_sm,ci_upper_fear_sm,mean_fl_fear_sm,ci_lower_happiness_sm,ci_upper_happiness_sm,mean_fl_happiness_sm,ci_lower_sadness_sm,ci_upper_sadness_sm,mean_fl_sadness_sm,ci_lower_surprise_sm,ci_upper_surprise_sm,mean_fl_surprise_sm,ci_lower_neutral_sm,ci_upper_neutral_sm,mean_fl_neutral_sm,mean_rel_zeit_s
1,-0.230245304842545,0.691783766381006,0.230769230769231,-0.226361155454413,0.171707887969064,-0.0273266337426743,-0.251549397955718,0.2931257560988,0.0207881790715407,-0.434846742455003,-0.0742710636255855,-0.254558903040294,-0.119329057512925,0.300094671612283,0.0903828070496789,-0.242232183425715,0.245106752769553,0.00143728467191881,-0.489368116870934,-0.0913914101505264,-0.29037976351073,-0.00819360273896549,0.475959429749699,0.233882913505367,97.9997437692308
2,-0.230245304842545,0.691783766381006,0.230769230769231,-0.226447037692543,0.165428005835649,-0.0305095159284473,-0.222725573749431,0.31657700741147,0.0469257168310197,-0.449689674618451,-0.0857246690705526,-0.267707171844502,-0.152142018169102,0.229262903294025,0.0385604425624617,-0.242474962598564,0.234516003461384,-0.00397947956858962,-0.503523624547673,-0.0906066476335215,-0.297065136090597,-0.0422155178049911,0.449057015438014,0.203420748816511,98.1158975384615
3,-0.230245304842545,0.691783766381006,0.230769230769231,-0.234968621011314,0.241132498295407,0.00308193864204632,-0.260598309504719,0.247529511709353,-0.00653439889768303,-0.457619171543845,-0.0878619989408263,-0.272740585242336,-0.215394031171886,0.147064071889339,-0.0341649796412735,-0.287355882520977,0.181218052475384,-0.0530689150227968,-0.465687346522378,-0.051799819234786,-0.258743582878582,-0.0887978344174011,0.411870410168101,0.16153628787535,98.2156411282051
4,-0.230245304842545,0.691783766381006,0.230769230769231,-0.214299336502242,0.258305392158011,0.0220030278278842,-0.354913341793653,0.0542236440529073,-0.150344848870373,-0.409214127580447,-0.0373750128529645,-0.223294570216706,-0.237689101681426,0.0706713249757011,-0.0835088883528623,-0.341344748022783,0.113618692150435,-0.113863027936174,-0.399686245300849,0.0189228605432775,-0.190381692378786,-0.0842741521464505,0.397366994035904,0.156546420944727,98.3156413205128
5,-0.230245304842545,0.691783766381006,0.230769230769231,-0.20333945789638,0.311712044802121,0.0541862934528704,-0.453732397816889,-0.0930138456794664,-0.273373121748178,-0.390173958252032,-6.49109461535124e-06,-0.195090224673324,-0.283174445352171,0.00375241900904082,-0.139711013171565,-0.356163833685251,0.104159028407681,-0.126002402638785,-0.333567244978594,0.0937010834502556,-0.119933080764169,-0.0415729880171765,0.429992033729539,0.194209522856181,98.4158975897436
6,-0.230245304842545,0.691783766381006,0.230769230769231,-0.215299411425262,0.387832063170564,0.0862663258726507,-0.449827334423479,-0.070255508457534,-0.260041421440507,-0.378711629458049,0.0482683407406974,-0.165221644358676,-0.305470169565527,-0.0348794013560946,-0.170174785460811,-0.361027608181943,0.0871166731736931,-0.136955467504125,-0.318600890202049,0.141185887163453,-0.0887075015192982,0.00189190372189175,0.497583819841194,0.249737861781543,98.5156412307692
7,-0.240478429502213,0.722529711553495,0.241025641025641,-0.283569860328052,0.323458523696623,0.0199443316842856,-0.426210200892077,-0.0378031773957709,-0.232006689143924,-0.364328015011575,0.0493650149721338,-0.157481500019721,-0.311829476594873,-0.0217585445843053,-0.166794010589589,-0.288377243491193,0.149159464743538,-0.0696088893738274,-0.305953575125009,0.15358863750512,-0.0761824688099445,-0.0139312742239452,0.524580944420624,0.255324835098339,98.6156411666667
8,-0.230245304842545,0.691783766381006,0.230769230769231,-0.318795663184163,0.152451743825935,-0.0831719596791141,-0.38855585121728,0.00932389240516283,-0.189615979406058,-0.35059497295878,0.0190370971148844,-0.165778937921948,-0.300114541422295,-0.0446057447310936,-0.172360143076694,-0.262000093755089,0.159206796283163,-0.0513966487359629,-0.319425247971419,0.149101374412462,-0.0851619367794784,-0.0409952354868905,0.512308635064891,0.235656699789,98.7158975897436
9,-0.230245304842545,0.691783766381006,0.230769230769231,-0.344183385325363,0.0483861314831569,-0.147898626921103,-0.421560062051142,-0.0350025563945487,-0.228281309222846,-0.368791493103619,-0.0560313772081532,-0.212411435155886,-0.302294873399592,-0.0193129019818262,-0.160803887690709,-0.247868633580773,0.189183662777127,-0.0293424854018231,-0.298276840416265,0.161207250899872,-0.0685347947581967,-0.00783311706055595,0.553427002788869,0.272796942864157,98.816154025641
10,-0.230245304842545,0.691783766381006,0.230769230769231,-0.303333087326976,0.0336113834512442,-0.134860851937866,-0.406470884725238,0.0570428728517196,-0.174714005936759,-0.403216433295533,0.124355740284677,-0.139430346505428,-0.42644993301417,0.614777042683718,0.094163554834774,-0.248048016689884,0.173751238433637,-0.0371483891281236,-0.347649773212,0.116781887576328,-0.115433942817836,0.0197594483717339,0.565121322582499,0.292440385477116,98.9164103076923
