slice,ci_lower_diskomfort,ci_upper_diskomfort,mean_diskomfort,ci_lower_anger_sm,ci_upper_anger_sm,mean_fl_anger_sm,ci_lower_disgust_sm,ci_upper_disgust_sm,mean_fl_disgust_sm,ci_lower_fear_sm,ci_upper_fear_sm,mean_fl_fear_sm,ci_lower_happiness_sm,ci_upper_happiness_sm,mean_fl_happiness_sm,ci_lower_sadness_sm,ci_upper_sadness_sm,mean_fl_sadness_sm,ci_lower_surprise_sm,ci_upper_surprise_sm,mean_fl_surprise_sm,ci_lower_neutral_sm,ci_upper_neutral_sm,mean_fl_neutral_sm,mean_rel_zeit_s
1,,,0,-0.253814627271396,0.24125056070203,-0.00628203328468333,-0.307544747998614,0.124826395890966,-0.091359176053824,-0.279754500214268,0.161435604717881,-0.0591594477481935,-0.294655957038957,0.187618091400901,-0.0535189328190279,-0.246214169155582,0.313360470111249,0.0335731504778331,0.0105920821456917,0.606296636080622,0.308444359113157,-0.331380624569422,0.265359932309576,-0.0330103461299231,261.999743589744
2,,,0,-0.226171556055549,0.217554521844052,-0.00430851710574821,-0.383525784095128,0.050532685499082,-0.166496549298023,-0.326620284618564,0.12731420841035,-0.0996530381041069,-0.300317751311796,0.170428422409813,-0.0649446644509915,-0.207773706285833,0.387179398587577,0.0897028461508719,0.00807973937808565,0.620598659296984,0.314339199337535,-0.2759509584535,0.282732093470927,0.0033905675087136,262.11615724359
3,,,0,-0.221032722948439,0.300505965336054,0.0397366211938079,-0.436248011287541,0.0342117252773047,-0.201018143005118,-0.378075986154775,0.0341053676739458,-0.171985309240415,-0.266632002856328,0.14509606901855,-0.0607679669188887,-0.172712305965738,0.42481753292221,0.126052613478236,0.0261229305922947,0.64378935787841,0.334956144235352,-0.210534404397903,0.319402696846379,0.0544341462242378,262.216406974359
4,,,0,-0.229817592399553,0.368341505421085,0.0692619565107662,-0.488732261743147,-0.0487431556676657,-0.268737708705407,-0.365721465001276,0.0543347389382284,-0.155693363031524,-0.242834895226813,0.21068959058216,-0.0160726523223267,-0.175077667335134,0.447562996312324,0.136242664488595,0.0578120292539219,0.692648704448234,0.375230366851078,-0.134653443777816,0.384055392743204,0.124700974482694,262.300004923077
5,,,0,-0.220349850365208,0.440868751680225,0.110259450657508,-0.493247438068914,-0.106777873077128,-0.300012655573021,-0.314259238065649,0.073382324967066,-0.120438456549292,-0.212908811059715,0.250716793786267,0.0189039913632762,-0.218742001511756,0.394293035637759,0.0877755170630015,0.0916021925647888,0.717101478769513,0.404351835667151,-0.0801734573018762,0.445188056647417,0.18250729967277,262.39999748718
6,,,0,-0.18994125979522,0.416181723333829,0.113120231769304,-0.498624777550057,-0.0774661049344168,-0.288045441242237,-0.200281335001951,0.302410129234067,0.0510643971160581,-0.195264127343473,0.286140591695254,0.0454382321758908,-0.217149061578457,0.406049993406197,0.0944504659138704,0.0590653371425924,0.660340679259994,0.359703008201293,-0.0736607993420666,0.48760436256893,0.206971781613432,262.516410461538
7,,,0,-0.19770604319527,0.430218820171265,0.116256388487998,-0.454494181241623,0.0191105057821001,-0.217691837729761,-0.130758769624992,0.426129950564648,0.147685590469828,-0.200908320346882,0.313780278207522,0.0564359789303197,-0.241746470800198,0.359552645847372,0.0589030875235867,0.0632490014758563,0.667061895919563,0.36515544869771,-0.154775386031924,0.39025810561646,0.117741359792268,262.616413589744
8,,,0,-0.176254961033109,0.417605511160758,0.120675275063825,-0.42656302558447,0.0807937766416438,-0.172884624471413,-0.0906928311365087,0.508151572703177,0.208729370783334,-0.185543605238267,0.309333116659016,0.0618947557103748,-0.277836855047893,0.321823580962049,0.0219933629570778,0.0525013765085349,0.663968123895008,0.358234750201771,-0.219244771597776,0.31959056879737,0.0501728985997971,262.716406974359
9,,,0,-0.179944545753172,0.411911733171101,0.115983593708965,-0.392090552390367,0.122865812652867,-0.13461236986875,-0.0900316489458318,0.530706128685455,0.220337239869812,-0.151324148672691,0.349054073646525,0.098864962486917,-0.294853050594021,0.287668511512343,-0.00359226954083877,0.0712585930080809,0.67973110395533,0.375494848481705,-0.254815215235612,0.254475132021711,-0.000170041606950635,262.800004923077
10,,,0,-0.109432695056989,0.407459097431959,0.149013201187485,-0.370862190434799,0.131022952793038,-0.11991961882088,-0.0553678392635526,0.55294644537016,0.248789303053304,-0.142831815936427,0.360887880240239,0.109028032151906,-0.286409559160601,0.311207467059431,0.0123989539494146,0.0174534435471447,0.596309433760497,0.306881438653821,-0.250929356539482,0.266063093264974,0.00756686836274585,262.899997487179
