slice,ci_lower_diskomfort,ci_upper_diskomfort,mean_diskomfort,ci_lower_anger_sm,ci_upper_anger_sm,mean_fl_anger_sm,ci_lower_disgust_sm,ci_upper_disgust_sm,mean_fl_disgust_sm,ci_lower_fear_sm,ci_upper_fear_sm,mean_fl_fear_sm,ci_lower_happiness_sm,ci_upper_happiness_sm,mean_fl_happiness_sm,ci_lower_sadness_sm,ci_upper_sadness_sm,mean_fl_sadness_sm,ci_lower_surprise_sm,ci_upper_surprise_sm,mean_fl_surprise_sm,ci_lower_neutral_sm,ci_upper_neutral_sm,mean_fl_neutral_sm,mean_rel_zeit_s
1,-0.06868683155044,0.36868683155044,0.15,-0.188475506987551,0.146129703525591,-0.0211729017309798,-0.0877450999930624,0.255819036421525,0.0840369682142311,-0.344448159673994,0.0894875410972265,-0.127480309288384,-0.2180459614057,0.226707662749282,0.00433085067179118,-0.193940653270787,0.326754259385231,0.0664068030572221,-0.255893435569301,0.188098759460332,-0.0338973380544848,-0.202769182165746,0.468682807868557,0.132956812851405,329
2,-0.0365957755760372,0.200698339678601,0.082051282051282,-0.167667659422245,0.20521913884147,0.0187757397096129,-0.114431118100428,0.220926810506743,0.0532478462031576,-0.347383264510333,0.0432911623089091,-0.152046051100712,-0.217713305554408,0.287748469443082,0.0350175819443371,-0.193277395525244,0.348063617418078,0.0773931109464168,-0.208602057917207,0.246883265855175,0.0191406039689842,-0.149634738879653,0.456699062995251,0.153532162057799,329.116413589744
3,-0.0562821856281776,0.16910269844869,0.0564102564102564,-0.12649649188601,0.260559647056134,0.0670315775850621,-0.0609578929038808,0.333888591671294,0.136465349383707,-0.343612638847767,0.00989788809639911,-0.166857375375684,-0.253479517752359,0.297369524721132,0.0219450034843866,-0.195135327623269,0.361874909060137,0.0833697907184341,-0.203364416398786,0.280961823485682,0.0387987035434479,-0.171187790853061,0.362922004621584,0.0958671068842613,329.216407128205
4,-0.0613987479580119,0.184475671034935,0.0615384615384615,-0.0842010067816216,0.297597810586228,0.106698401902303,-0.0231523819472783,0.437901637418219,0.20737462773547,-0.353032174567185,0.00985841367324049,-0.171586880446972,-0.279409324815216,0.23038221347558,-0.0245135556698182,-0.186765467997008,0.348394084783034,0.0808143083930129,-0.213307884614499,0.319039982062726,0.0528660487241134,-0.224272580637407,0.282094893985009,0.0289111566738009,329.300004923077
5,-0.0613987479580119,0.184475671034935,0.0615384615384615,-0.0717954764445387,0.344734727544105,0.136469625549783,0.0390265069558613,0.546196834380013,0.292611670667937,-0.365928096649278,-0.00109019210928957,-0.183509144379284,-0.282542378725433,0.210955829462132,-0.0357932746316502,-0.194177819018621,0.298884054180454,0.0523531175809162,-0.202895015128985,0.298295733386101,0.0477003591285581,-0.277241889071895,0.193610255295314,-0.0418158168882906,329.399228294872
6,-0.0623962839075463,0.187396283907546,0.0625,-0.0551360631706042,0.497397110055175,0.221130523442285,0.0846980179372336,0.580826198101326,0.33276210801928,-0.37250117180934,-0.0108522953384628,-0.191676733573901,-0.254949744486868,0.203611656224191,-0.0256690441313382,-0.247123054942902,0.228961578312828,-0.00908073831503692,-0.201060864726532,0.319493136398455,0.0592161358359618,-0.310353475795786,0.137795258224187,-0.0862791087857997,329.516145833333
7,-0.0623962839075463,0.187396283907546,0.0625,-0.0518375691437354,0.528745843377012,0.238454137116638,0.103600160189378,0.633998881230465,0.368799520709922,-0.344639949562946,0.0250350973004393,-0.159802426131253,-0.240389676983301,0.155433027214945,-0.0424783248841781,-0.259924322876695,0.201493765115854,-0.0292152788804204,-0.18987864978158,0.341988451668631,0.0760549009435254,-0.334628896239929,0.0909460569178668,-0.121841419661031,329.615888841146
8,-0.0613987479580119,0.184475671034935,0.0615384615384615,-0.0570924284553406,0.523337292043293,0.233122431793976,0.093380921118669,0.63959065366765,0.366485787393159,-0.328223074292289,0.0249858632688676,-0.151618605511711,-0.251852951900504,0.114392268764913,-0.0687303415677956,-0.258205957315322,0.220618641942386,-0.0187936576864682,-0.181423303701902,0.310867465175423,0.0647220807367604,-0.283083507908827,0.104820602133126,-0.0891314528878502,329.715841141026
9,-0.0613987479580119,0.184475671034935,0.0615384615384615,-0.0735634382114361,0.422555797485522,0.174496179637043,0.193427373119257,0.733082391147278,0.463254882133268,-0.30504170785253,0.055012938626983,-0.125014384612773,-0.245306284665755,0.135759842499735,-0.0547732210830104,-0.2369854532364,0.24713730142529,0.0050759240944449,-0.205211584700912,0.266005380365573,0.0303968978323303,-0.327928405739819,0.083769354277699,-0.12207952573106,329.800004923077
10,-0.0613987479580119,0.184475671034935,0.0615384615384615,-0.133843173071278,0.30695692838552,0.086556877657121,0.264692203793986,0.854875672984221,0.559783938389104,-0.302915449525625,0.051505393969638,-0.125705027777993,-0.263176675560969,0.149643770879463,-0.0567664523407532,-0.218041436360835,0.279964969071513,0.0309617663553394,-0.241629381474578,0.238126492931347,-0.00175144427161563,-0.419060556789893,0.0101822667947858,-0.204439144997553,329.899997487179
11,-0.0613987479580119,0.184475671034935,0.0615384615384615,-0.194819735434965,0.228906100529855,0.0170431825474454,0.27607863439459,0.918174104140357,0.597126369267474,-0.30428631840181,0.0826604733800797,-0.110812922510865,-0.278517138931602,0.133799874626721,-0.0723586321524406,-0.240150553831864,0.217872403826743,-0.0111390750025602,-0.25642301388294,0.278359541890012,0.0109682640035357,-0.490470697248687,-0.0323702372292844,-0.261420467238986,330.01641025641
12,-0.0716318726176805,0.215221616207424,0.0717948717948718,-0.213849582313499,0.187192878063056,-0.0133283521252217,0.271296323514136,0.858223094015101,0.564759708764619,-0.317215184705343,0.0758099582560376,-0.120702613224653,-0.332585748390119,0.0111146735462002,-0.16073553742196,-0.232182109764688,0.220384738916104,-0.00589868542429182,-0.248447030716459,0.283552821433294,0.0175528953584175,-0.494512974356384,-0.0339788723930671,-0.264245923374725,330.116413589744
13,-0.0562821856281776,0.16910269844869,0.0564102564102564,-0.221556013419938,0.248168790731165,0.0133063886556135,0.214747697138743,0.769238445508222,0.491993071323483,-0.313429724646702,0.121588971426864,-0.0959203766099189,-0.382692013543729,0.0685070487176161,-0.157092482413056,-0.228269280913809,0.247463402113049,0.00959706059961999,-0.2811602736478,0.272193449901112,-0.00448341187334375,-0.469191217861401,0.0106433694957649,-0.229273924182818,330.216407128205
14,-0.0537239044632604,0.161416212155568,0.0538461538461539,-0.203697795974022,0.23505544723994,0.0156788256329588,0.208827653061588,0.774130550247366,0.491479101654477,-0.346561247120591,0.132412683741862,-0.107074281689365,-0.416359908000848,0.130352783870982,-0.143003562064933,-0.233740116280579,0.236678950021239,0.0014694168703297,-0.32089656480929,0.231318639436618,-0.0447889626863359,-0.446759053527173,0.0294601626054821,-0.208649445460845,330.300004923077
15,-0.0613987479580119,0.184475671034935,0.0615384615384615,-0.116725173296601,0.462114409647769,0.172694618175584,0.19396510439458,0.71467023614237,0.454317670268475,-0.369688905529706,0.0836071899908999,-0.143040857769403,-0.357407709175032,0.115777157996426,-0.120815275589303,-0.24802557570282,0.182906171495899,-0.0325597021034602,-0.326426280942642,0.190812577111555,-0.0678068519155438,-0.429066681163182,0.0210469348830929,-0.204009873140044,330.399997794872
16,-0.0665153102878462,0.19984864362118,0.0666666666666667,-0.104538086469739,0.449526230172897,0.172494071851579,0.213823385675619,0.741957477377448,0.477890431526534,-0.372828193663154,0.0816368588358708,-0.145595667413642,-0.3061177989645,-0.0178164174658478,-0.161967108215174,-0.255793499186658,0.172651713354142,-0.0415708929162578,-0.369814906186608,0.0725288325057183,-0.148643036840445,-0.391368653986463,0.043019198599723,-0.17417472769337,330.516410666667
17,-0.0613987479580119,0.184475671034935,0.0615384615384615,-0.102824289970475,0.476671228768724,0.186923469399124,0.211173205674368,0.746645235422098,0.478909220548233,-0.391066435267764,0.0877020752019941,-0.151682180032885,-0.319129743658928,-0.107066533383158,-0.213098138521043,-0.185419889230404,0.286800560554574,0.0506903356620854,-0.399111223615493,-0.0250035433588243,-0.212057383487159,-0.371458358328119,0.0685032966696005,-0.151477530829259,330.616157205128
